task,dataset,method,method_id,cache_policy,cache_window_size,protocol,sampling_stride,prefix_frames,num_sequences,mean_acc,mean_acc_med,mean_comp,mean_comp_med,mean_nc,mean_nc_med,mean_overall,mean_final_frame_ms
static,nrgbd,K6,k6,anchor_recent_dino_diverse_k6,6,dense,100,6,8,0.08744437290083004,0.06079265852796212,0.06620290328701722,0.03489092781503013,0.8218126035700755,0.9475859230026198,0.07682363809392362,78.08908653259277
static,nrgbd,K8,k8,anchor_recent_dino_diverse_k8,8,dense,100,6,8,0.0824949960251434,0.054215528282313935,0.060573547020562966,0.03043300586033889,0.830856830742818,0.9586253367754839,0.07153427152285319,79.56390857696533
static,nrgbd,Full cache,full_cache,full_cache,,dense,100,8,8,0.11287695211451829,0.06620000933857437,0.08524300245953315,0.03794946967467229,0.8149078927980284,0.9418904516454902,0.09905997728702573,82.37250995635986
static,nrgbd,K4,k4,anchor_recent_dino_diverse_k4,4,dense,100,8,8,0.12770072500666677,0.07784287571947031,0.08909019003721325,0.040142647940013126,0.8095256060633206,0.9527979147160923,0.10839545752194,77.31066703796387
static,nrgbd,K6,k6,anchor_recent_dino_diverse_k6,6,dense,100,8,8,0.11721021402922951,0.07447314099591659,0.08774208937614472,0.04050714466221128,0.8164965426740143,0.9552743276292504,0.10247615170268712,82.1515760421753
static,nrgbd,K8,k8,anchor_recent_dino_diverse_k8,8,dense,100,8,8,0.11188121521192937,0.0626089211458487,0.08313771314124697,0.037446877790793795,0.8162955060133292,0.9520287718459692,0.09750946417658818,85.64876747131348
static,nrgbd,Full cache,full_cache,full_cache,,dense,100,10,8,0.11613511962308556,0.07821426038577342,0.08824443990911118,0.041634563483940165,0.8217308658115787,0.9640883449476223,0.10218977976609839,89.07660675048828
static,nrgbd,K4,k4,anchor_recent_dino_diverse_k4,4,dense,100,10,8,0.1315445044931185,0.10157052440854124,0.08910860263214845,0.04392635678996228,0.8069634254919911,0.9577635981138217,0.11032655356263349,77.71047973632812
static,nrgbd,K6,k6,anchor_recent_dino_diverse_k6,6,dense,100,10,8,0.12570234672122543,0.08957338857147037,0.09442174792646346,0.0445357336967889,0.8178953778602668,0.9631354136882129,0.11006204732384445,82.29969501495361
static,nrgbd,K8,k8,anchor_recent_dino_diverse_k8,8,dense,100,10,8,0.11787080477536444,0.07891369336666525,0.0891938549501421,0.039976901869935404,0.8215462300848494,0.9645772385332585,0.10353232986275326,104.75276851654053
