dataset,metric,better_direction,method_a,method_b,n_pairs,mean_a,mean_b,mean_advantage_a,advantage_ci95_low,advantage_ci95_high,wins_a,ties,losses_a,significance
kitti,peak_allocated_mb,lower,K4,K8,13,8033.750863882212,8335.398888221154,301.6480243389423,299.54078556941107,303.92757943960333,13,0,0,A_BETTER
kitti,abs_rel,lower,K6,K8,13,0.15539956690250623,0.18132779306324623,0.02592822616073996,0.005640036373991664,0.04647670228956007,10,0,3,A_BETTER
kitti,rmse,lower,K6,K8,13,4.736537174786709,5.290152223598487,0.5536150488117791,0.18485167889665405,0.946510170800016,11,0,2,A_BETTER
kitti,delta_1,higher,K6,K8,13,0.760578256386977,0.7038664130064157,0.05671184338056124,0.003464960822692285,0.10842417524411128,9,0,4,A_BETTER
kitti,inference_sec,lower,K6,K8,13,10.968049670923323,11.277712728923339,0.30966305800001676,0.23770217918704822,0.3777854377402316,13,0,0,A_BETTER
kitti,peak_allocated_mb,lower,K6,K8,13,8177.876915564904,8335.398888221154,157.52197265625,154.87052377554085,160.28650841346155,13,0,0,A_BETTER
sintel,abs_rel,lower,Full cache,K4,23,0.41759980469942093,0.4045752761480601,-0.013024528551360836,-0.053861422039082514,0.014430070077271564,12,0,11,NO_CLEAR_DIFFERENCE
sintel,rmse,lower,Full cache,K4,23,4.330923000593549,4.501403603054907,0.17048060246135877,-0.05415703928017098,0.5528248820858804,11,0,12,NO_CLEAR_DIFFERENCE
sintel,delta_1,higher,Full cache,K4,23,0.6309265014917954,0.6168404276604238,0.01408607383137164,-0.0036796512325172836,0.033858017809689035,11,0,12,NO_CLEAR_DIFFERENCE
sintel,inference_sec,lower,Full cache,K4,23,6.732823272695501,5.418807619564809,-1.3140156531306908,-1.48900919589182,-1.105382494431698,0,0,23,B_BETTER
sintel,peak_allocated_mb,lower,Full cache,K4,23,10235.203231148098,7997.556598165761,-2237.646632982337,-2437.468820588485,-1991.845690917969,0,0,23,B_BETTER
sintel,abs_rel,lower,Full cache,K6,23,0.41759980469942093,0.4176198305643123,2.0025864891383957e-05,-0.03049232101715777,0.021014400097824952,12,0,11,NO_CLEAR_DIFFERENCE
sintel,rmse,lower,Full cache,K6,23,4.330923000593549,4.455375901544872,0.1244529009513233,-0.021926101831638293,0.357846327320389,10,0,13,NO_CLEAR_DIFFERENCE
sintel,delta_1,higher,Full cache,K6,23,0.6309265014917954,0.6090176989850791,0.021908802506716354,0.005778119040896063,0.039760840425024854,13,0,10,A_BETTER
sintel,inference_sec,lower,Full cache,K6,23,6.732823272695501,5.425445621608283,-1.3073776510872173,-1.4791295157835482,-1.1003565275775065,0,0,23,B_BETTER
sintel,peak_allocated_mb,lower,Full cache,K6,23,10235.203231148098,8200.768278702446,-2034.4349524456522,-2236.9263836404552,-1789.4394175653872,0,0,23,B_BETTER
sintel,abs_rel,lower,Full cache,K8,23,0.41759980469942093,0.4273452820337337,0.00974547733431277,-0.00446281749755144,0.02712222031601097,12,0,11,NO_CLEAR_DIFFERENCE
sintel,rmse,lower,Full cache,K8,23,4.330923000593549,4.399138946734045,0.06821594614049663,0.005513672899130895,0.16792302999807435,13,0,10,A_BETTER
sintel,delta_1,higher,Full cache,K8,23,0.6309265014917954,0.613102332405422,0.01782416908637337,0.002352991230461909,0.03762773396852223,13,0,10,A_BETTER
sintel,inference_sec,lower,Full cache,K8,23,6.732823272695501,5.609936771173955,-1.1228865015215452,-1.275068069631652,-0.9373123909016258,0,0,23,B_BETTER
sintel,peak_allocated_mb,lower,Full cache,K8,23,10235.203231148098,8393.518873131794,-1841.6843580163043,-2044.9660495923913,-1594.8738350246265,0,0,23,B_BETTER
sintel,abs_rel,lower,K4,K6,23,0.4045752761480601,0.4176198305643123,0.013044554416252218,-0.0007495613606727642,0.029150343410994695,16,0,7,NO_CLEAR_DIFFERENCE
sintel,rmse,lower,K4,K6,23,4.501403603054907,4.455375901544872,-0.046027701510035476,-0.2022878043839465,0.04806897435337303,16,0,7,NO_CLEAR_DIFFERENCE
sintel,delta_1,higher,K4,K6,23,0.6168404276604238,0.6090176989850791,0.007822728675344715,-0.0057633941102287044,0.02238371500178523,14,0,9,NO_CLEAR_DIFFERENCE
sintel,inference_sec,lower,K4,K6,23,5.418807619564809,5.425445621608283,0.006638002043473534,-0.03749621677569177,0.0519001901111116,11,0,12,NO_CLEAR_DIFFERENCE
sintel,peak_allocated_mb,lower,K4,K6,23,7997.556598165761,8200.768278702446,203.21168053668478,197.77179485818613,208.42763990319293,23,0,0,A_BETTER
sintel,abs_rel,lower,K4,K8,23,0.4045752761480601,0.4273452820337337,0.022770005885673607,-0.0021025379350327928,0.05740969500544926,14,0,9,NO_CLEAR_DIFFERENCE
sintel,rmse,lower,K4,K8,23,4.501403603054907,4.399138946734045,-0.10226465632086215,-0.46620926831889414,0.10939893752903393,15,0,8,NO_CLEAR_DIFFERENCE
sintel,delta_1,higher,K4,K8,23,0.6168404276604238,0.613102332405422,0.0037380952550017314,-0.01763285239753516,0.023957691811349078,14,0,9,NO_CLEAR_DIFFERENCE
sintel,inference_sec,lower,K4,K8,23,5.418807619564809,5.609936771173955,0.19112915160914543,0.1561758207227997,0.2243603100629867,23,0,0,A_BETTER
sintel,peak_allocated_mb,lower,K4,K8,23,7997.556598165761,8393.518873131794,395.9622749660326,388.07427394701085,404.1688381029212,23,0,0,A_BETTER
sintel,abs_rel,lower,K6,K8,23,0.4176198305643123,0.4273452820337337,0.009725451469421387,-0.005368887584494508,0.03174804310597803,12,0,11,NO_CLEAR_DIFFERENCE
sintel,rmse,lower,K6,K8,23,4.455375901544872,4.399138946734045,-0.056236954810826675,-0.2646869989314481,0.06854555953456005,15,0,8,NO_CLEAR_DIFFERENCE
sintel,delta_1,higher,K6,K8,23,0.6090176989850791,0.613102332405422,-0.004084633420342984,-0.01579238045150819,0.006458135629477705,14,0,9,NO_CLEAR_DIFFERENCE
sintel,inference_sec,lower,K6,K8,23,5.425445621608283,5.609936771173955,0.1844911495656719,0.13517718591107514,0.2343840602656833,22,0,1,A_BETTER
sintel,peak_allocated_mb,lower,K6,K8,23,8200.768278702446,8393.518873131794,192.7505944293478,187.33360595703127,198.92225182574728,23,0,0,A_BETTER
