dataset,sequence,method,method_id,random_seed,num_frames,abs_rel,rmse,delta_1,inference_sec,fps_inference,peak_allocated_mib,peak_reserved_mib
kitti,2011_09_30_drive_0016_sync_02,Random-4 (seed 0),random4_seed0,0,110,0.1436447071146898,4.0905034262568165,0.7739254832267761,12.290788911050186,8.949791652601172,8187.24462890625,10446.0
kitti,2011_09_30_drive_0016_sync_02,Random-4 (seed 1),random4_seed1,1,110,0.10666906374387461,3.2407278222993687,0.9283145070075989,12.275215975940228,8.961145792921537,8187.24462890625,10444.0
kitti,2011_09_30_drive_0016_sync_02,Random-4 (seed 2),random4_seed2,2,110,0.1276257731022679,3.469943048329405,0.8569218516349792,12.114242034964263,9.080221418931266,8187.24462890625,10446.0
kitti,2011_10_03_drive_0047_sync_02,Full cache,full_cache,0,110,0.13602139556998316,4.063113720153929,0.8279010653495789,19.006336340000416,5.787543587161291,12725.68212890625,25358.0
kitti,2011_10_03_drive_0047_sync_02,Recent-4,recent4,0,110,0.0739109355878166,3.30266981569497,0.9696363806724548,12.044101333012804,9.133101504094016,8187.24462890625,10446.0
kitti,2011_10_03_drive_0047_sync_02,Anchor+Recent-4,anchor_recent4,0,110,0.20818788685469783,4.964535396913582,0.5670419335365295,12.214193338993937,9.00591606396338,8187.24462890625,10444.0
kitti,2011_10_03_drive_0047_sync_02,K4,k4,0,110,0.13848425035768283,3.9363967053304534,0.8254509568214417,12.102383089997602,9.089118992681119,8187.26416015625,10446.0
kitti,2011_10_03_drive_0047_sync_02,Uniform-4,anchor_uniform4,0,110,0.1779019322427891,4.4952285755641865,0.6680303812026978,12.139257582835853,9.061509672183996,8187.24462890625,10446.0
kitti,2011_10_03_drive_0047_sync_02,Random-4 (seed 0),random4_seed0,0,110,0.11633846567275677,3.6310175914585683,0.9051655530929565,12.335275408113375,8.917514717802641,8187.24462890625,10446.0
kitti,2011_10_03_drive_0047_sync_02,Random-4 (seed 1),random4_seed1,1,110,0.14770430204078247,3.9805732810057792,0.83656245470047,12.29622597200796,8.945834295044037,8187.24462890625,10444.0
kitti,2011_10_03_drive_0047_sync_02,Random-4 (seed 2),random4_seed2,2,110,0.08530199756922549,3.329986383253359,0.9734729528427124,12.103272729087621,9.088450905980048,8187.24462890625,10446.0
sintel,alley_1,Full cache,full_cache,0,50,0.29229238629341125,3.829543352127075,0.7245372533798218,7.530631151999842,6.639549725751998,10182.25830078125,15686.0
sintel,alley_1,Recent-4,recent4,0,50,0.36412766575813293,3.855259895324707,0.7324458956718445,5.973844060208648,8.36982008503477,7694.2626953125,9788.0
sintel,alley_1,Anchor+Recent-4,anchor_recent4,0,50,0.33825963735580444,3.8461272716522217,0.7277873754501343,5.947366188978776,8.407082801233315,7694.2626953125,9788.0
sintel,alley_1,K4,k4,0,50,0.30932676792144775,3.843535900115967,0.7274094820022583,6.051407724000455,8.262540268389992,7694.2822265625,9788.0
sintel,alley_1,Uniform-4,anchor_uniform4,0,50,0.3202199339866638,3.8396780490875244,0.7277233004570007,5.9508172671776265,8.402207252402185,7694.2626953125,9788.0
sintel,alley_1,Random-4 (seed 0),random4_seed0,0,50,0.321065217256546,3.8452982902526855,0.7259467840194702,6.053411901928484,8.259804687018093,7694.2626953125,9788.0
