dataset,sequence,method,method_id,cache_policy,cache_window_size,num_frames,valid_pixels,abs_rel,sq_rel,rmse,log_rmse,delta_1,delta_2,delta_3,inference_sec,fps_inference,peak_allocated_mib,peak_reserved_mib
kitti,2011_09_26_drive_0036_sync_02,K4,k4,anchor_recent_dino_diverse_k4,4,110,9429993,0.13092604585877443,0.567444702021929,4.141367089890762,0.17306283663152042,0.8302183151245117,0.9862895607948303,0.9964724183082581,12.115411589002179,9.079344865167686,8187.26416015625,10446.0
kitti,2011_09_26_drive_0036_sync_02,K6,k6,anchor_recent_dino_diverse_k6,6,110,9429993,0.16529681386387368,0.7980393520355246,4.7302875481915105,0.20604291557122414,0.7376410365104675,0.9636030197143555,0.9957318305969238,12.284243853002408,8.954560111008766,8332.841796875,10444.0
kitti,2011_09_26_drive_0036_sync_02,K8,k8,anchor_recent_dino_diverse_k8,8,110,9429993,0.21455478683467757,1.1399325516403342,5.524749240016819,0.2513988982711883,0.6288233399391174,0.9230261445045471,0.9935751557350159,12.66751071500039,8.683631889076844,8485.193359375,10410.0
kitti,2011_09_26_drive_0079_sync_02,Full cache,full_cache,full_cache,,90,6052872,0.12974679619062623,0.707339853712633,5.779337879218956,0.20646274087780048,0.9092097282409668,0.9735842943191528,0.989668607711792,14.140306629997212,6.364784184317066,11727.70654296875,25358.0
kitti,2011_09_26_drive_0079_sync_02,K4,k4,anchor_recent_dino_diverse_k4,4,90,6052872,0.11838698361667199,0.5084846601854669,4.638461968121079,0.17145283026715719,0.9090430736541748,0.9852101802825928,0.9936761260032654,9.864034098001866,9.124056051086754,8093.64453125,10446.0
kitti,2011_09_26_drive_0079_sync_02,K6,k6,anchor_recent_dino_diverse_k6,6,90,6052872,0.13524970479399398,0.6158017703452063,5.071903981556201,0.1896368463041083,0.8664137125015259,0.9817217588424683,0.9925981163978577,9.957776478000596,9.03816230448978,8235.56640625,10444.0
kitti,2011_09_26_drive_0079_sync_02,K8,k8,anchor_recent_dino_diverse_k8,8,90,6052872,0.14040022307835637,0.7353178110887931,5.738686334493419,0.2080572086580334,0.8680962324142456,0.9726353287696838,0.9896246194839478,10.28387625599862,8.751563881129227,8400.58984375,10410.0
kitti,2011_09_26_drive_0095_sync_02,Full cache,full_cache,full_cache,,110,7880774,0.27733682773622037,1.724457853169782,6.042724971756229,0.3231792542107256,0.42374229431152344,0.804390549659729,0.9947670698165894,19.205707172000984,5.72746418628955,12637.97705078125,25358.0
kitti,2011_09_26_drive_0095_sync_02,K4,k4,anchor_recent_dino_diverse_k4,4,110,7880774,0.13583743033709955,0.5416608191724819,3.711548239937497,0.17091016304892861,0.8055696487426758,0.9900181293487549,0.9991119503974915,12.065561970997805,9.116856741891414,8093.64453125,10446.0
kitti,2011_09_26_drive_0095_sync_02,K6,k6,anchor_recent_dino_diverse_k6,6,110,7880774,0.170068442116116,0.8381904571466388,4.407206975174857,0.21017183165828585,0.7563214302062988,0.9417493939399719,0.9985992908477783,12.24589632399875,8.982600953792888,8238.09765625,10444.0
kitti,2011_09_26_drive_0095_sync_02,K8,k8,anchor_recent_dino_diverse_k8,8,110,7880774,0.2739309610566276,1.9650045373764125,6.317831515990942,0.3138026809103397,0.4980906844139099,0.8391106128692627,0.9741025567054749,12.539173679000669,8.77250788735918,8400.58984375,10410.0
kitti,2011_09_26_drive_0113_sync_02,Full cache,full_cache,full_cache,,77,3065035,0.11909168184014834,0.6219578908230593,5.3323928220508385,0.19118294367164382,0.9016993641853333,0.9760746955871582,0.9816964864730835,11.408445855999162,6.749385584322105,11077.52587890625,25358.0
kitti,2011_09_26_drive_0113_sync_02,K4,k4,anchor_recent_dino_diverse_k4,4,77,3065035,0.14582216067371107,0.6589105729125776,5.196024555221125,0.2025367992941714,0.8247299194335938,0.9778822064399719,0.9836220741271973,8.36823015200207,9.2014677657471,8036.1591796875,10446.0
kitti,2011_09_26_drive_0113_sync_02,K6,k6,anchor_recent_dino_diverse_k6,6,77,3065035,0.16236088991096367,0.711163115561194,5.222976824981598,0.21376704083068887,0.7729755640029907,0.9777924418449402,0.983700692653656,8.538150046999363,9.018347016173696,8181.40087890625,10444.0
kitti,2011_09_26_drive_0113_sync_02,K8,k8,anchor_recent_dino_diverse_k8,8,77,3065035,0.16091196871047175,0.7285204041084563,5.3345840356263885,0.21656439903485972,0.7857450842857361,0.9763487577438354,0.9825115203857422,8.809854232000362,8.74021271774396,8333.5810546875,10410.0
kitti,2011_09_28_drive_0037_sync_02,Full cache,full_cache,full_cache,,79,4978112,0.10207843185164289,0.8555596438604192,6.172648159633335,0.19197345487945236,0.9019505977630615,0.9387625455856323,0.9759525060653687,11.923375287999079,6.62564065055587,11037.505859375,25358.0
kitti,2011_09_28_drive_0037_sync_02,K4,k4,anchor_recent_dino_diverse_k4,4,79,4978112,0.11960011194408596,0.9486907235024679,6.458642237382921,0.207908899833952,0.8982560038566589,0.9373788833618164,0.9695199728012085,8.624847635997867,9.159582097459273,7894.404296875,10446.0
kitti,2011_09_28_drive_0037_sync_02,K6,k6,anchor_recent_dino_diverse_k6,6,79,4978112,0.1177764143095209,1.0223084152139341,6.743812960519615,0.22157797996063436,0.8721115589141846,0.9333112835884094,0.9640594720840454,8.711228164000204,9.06875569239173,8034.48291015625,10444.0
kitti,2011_09_28_drive_0037_sync_02,K8,k8,anchor_recent_dino_diverse_k8,8,79,4978112,0.11609159489530844,0.9648696823199941,6.546520455824259,0.2100368252310431,0.8979701399803162,0.9359624981880188,0.967820942401886,9.03567213399947,8.74312379072924,8198.12353515625,10410.0
kitti,2011_09_29_drive_0026_sync_02,Full cache,full_cache,full_cache,,110,6778694,0.04712640836041846,0.1505051243894328,2.3797732898900374,0.07913693919100097,0.9802801012992859,0.9936169981956482,0.9978083968162537,19.368488273001276,5.679328115314741,12582.5625,25358.0
kitti,2011_09_29_drive_0026_sync_02,K4,k4,anchor_recent_dino_diverse_k4,4,110,6778694,0.04720591809380705,0.1447606520673245,2.3128353759677003,0.07841442762239555,0.9802618026733398,0.994707465171814,0.9979097247123718,12.028244863002328,9.145141394514585,8040.52685546875,10446.0
kitti,2011_09_29_drive_0026_sync_02,K6,k6,anchor_recent_dino_diverse_k6,6,110,6778694,0.04783910672401158,0.14734021199455932,2.3359082286446737,0.07943248576366627,0.9802117943763733,0.9945406317710876,0.9978660941123962,12.312346435999643,8.934121580462909,8189.47265625,10444.0
kitti,2011_09_29_drive_0026_sync_02,K8,k8,anchor_recent_dino_diverse_k8,8,110,6778694,0.04798436995900477,0.1530555810933194,2.3804075495178627,0.08052717856776474,0.9797205328941345,0.9944062829017639,0.9978175163269043,12.644322619002196,8.699556576853656,8345.388671875,10410.0
kitti,2011_09_30_drive_0016_sync_02,Full cache,full_cache,full_cache,,110,10194423,0.2774281455202081,1.8425880749667636,6.714605914989893,0.3132003855824115,0.4210807979106903,0.8389546871185303,0.9966788291931152,19.12640993700188,5.751209995096592,12725.68212890625,25358.0
