dataset,method,metric,n_sequences,mean,median,std,ci95_low,ci95_high,aggregation
sintel,Full cache,inference_sec,23,6.732823272695501,7.336596420998831,1.5355489615580402,6.070420569672309,7.282425784263638,unweighted_sequence_mean
sintel,Full cache,fps_inference,23,6.974467135283273,6.815149305049659,0.47717680960415165,6.805139985286085,7.18795891742308,unweighted_sequence_mean
sintel,Full cache,peak_allocated_mb,23,10235.203231148098,10530.84130859375,631.9882713374567,9955.73931035581,10458.897217858355,unweighted_sequence_mean
sintel,Full cache,peak_reserved_mb,23,15932.869565217392,15984.0,159.57309648725143,15867.478260869566,15994.95652173913,unweighted_sequence_mean
sintel,K4,abs_rel,23,0.4045752761480601,0.25128114223480225,0.5654225477829932,0.2280940082207646,0.6739159510227973,unweighted_sequence_mean
sintel,K4,sq_rel,23,1.760591807157692,0.6036166548728943,2.4182477033112804,0.8802427563077325,2.8165902788538233,unweighted_sequence_mean
sintel,K4,rmse,23,4.501403603054907,3.5757253170013428,4.837231437236043,2.6972686026974215,6.543277872305201,unweighted_sequence_mean
sintel,K4,log_rmse,23,0.4110723947701247,0.31884413957595825,0.31838266906356144,0.29568087222135586,0.548584529303986,unweighted_sequence_mean
sintel,K4,delta_1,23,0.6168404276604238,0.7012050747871399,0.28855690370320275,0.4984787792372315,0.7295648294946421,unweighted_sequence_mean
sintel,K4,delta_2,23,0.7919211167356243,0.868709921836853,0.2360662825697362,0.6916373413542043,0.8805528313245462,unweighted_sequence_mean
sintel,K4,delta_3,23,0.872717819136122,0.9437811970710754,0.18837310757530124,0.788364300261373,0.9397408971320027,unweighted_sequence_mean
sintel,K4,inference_sec,23,5.418807619564809,5.801948029999039,1.0622004503615932,4.94703965316433,5.7920431704868545,unweighted_sequence_mean
sintel,K4,fps_inference,23,8.537251003043142,8.538644859231086,0.11011599607624457,8.491464397652406,8.579483709889,unweighted_sequence_mean
sintel,K4,peak_allocated_mb,23,7997.556598165761,8064.080078125,120.5804578001364,7945.599885360054,8041.623947010869,unweighted_sequence_mean
sintel,K4,peak_reserved_mb,23,9860.695652173914,9864.0,15.847095468337681,9854.08695652174,9864.0,unweighted_sequence_mean
sintel,K6,abs_rel,23,0.4176198305643123,0.26123514771461487,0.5883855862288724,0.23851660702215588,0.6797597671696997,unweighted_sequence_mean
sintel,K6,sq_rel,23,1.7845581647150381,0.6532829999923706,2.524950633199722,0.8819612503532603,2.8709608162851983,unweighted_sequence_mean
sintel,K6,rmse,23,4.455375901544872,3.6014370918273926,4.767313999709674,2.668892173651282,6.407252048405453,unweighted_sequence_mean
sintel,K6,log_rmse,23,0.41387832164764404,0.33816033601760864,0.3249080638171002,0.2949990566819906,0.5595379793935497,unweighted_sequence_mean
sintel,K6,delta_1,23,0.6090176989850791,0.671033501625061,0.29525051923556694,0.4887046524364015,0.7234601560089251,unweighted_sequence_mean
