dataset,sequence,method,method_id,cache_policy,cache_window_size,status,num_frames,ate,rpe_trans,rpe_rot_deg,align_scale,inference_sec,fps_inference,peak_allocated_mib,peak_reserved_mib
sintel,ambush_6,K8,k8,anchor_recent_dino_diverse_k8,8,ok,20,0.27165871832812083,0.11041607106359082,2.19090802144955,2.768682472385329,1.3494571920018643,14.820773951584801,7871.35009765625,8334.0
sintel,cave_2,Full cache,full_cache,full_cache,,ok,50,1.1660725145665758,0.23873612717346385,2.8947072398921283,8.106768607635129,4.613089430960827,10.838723321603991,10055.974609375,12724.0
sintel,cave_2,K4,k4,anchor_recent_dino_diverse_k4,4,ok,50,1.1251719085039689,0.374608596108025,7.827967603295986,18.854649327722157,3.6082687120651826,13.857061097698192,7572.52587890625,8004.0
sintel,cave_2,K6,k6,anchor_recent_dino_diverse_k6,6,ok,50,1.106173697999345,0.3798327461969167,5.15076369126494,28.26052153897895,3.1800434150500223,15.72305578073798,7784.64892578125,8172.0
sintel,cave_2,K8,k8,anchor_recent_dino_diverse_k8,8,ok,50,1.1165675834324553,0.3027790377863272,5.306606248653589,23.280215746511594,3.269875734113157,15.291100967040514,7998.97900390625,8476.0
sintel,cave_4,Full cache,full_cache,full_cache,,ok,50,0.07214460015921856,0.04632440113294015,0.38179939084739817,3.0961501867706236,4.905238503939472,10.193184278367756,10055.974609375,12724.0
sintel,cave_4,K4,k4,anchor_recent_dino_diverse_k4,4,ok,50,0.1795306259114736,0.08608284854044675,1.1979293016924892,4.604296704071053,3.1765466280048713,15.740363940888868,7572.52587890625,8004.0
sintel,cave_4,K6,k6,anchor_recent_dino_diverse_k6,6,ok,50,0.17415838472806433,0.07109092574626032,1.0038654826451252,4.134247102419948,3.1655769349308684,15.794909120125974,7784.64892578125,8172.0
sintel,cave_4,K8,k8,anchor_recent_dino_diverse_k8,8,ok,50,0.14247895299436344,0.06382842098300645,0.7977634681832783,3.9795820390232866,3.2559875450097024,15.356324097932324,7998.97900390625,8476.0
sintel,market_2,Full cache,full_cache,full_cache,,ok,50,0.029896928195877293,0.0207412745805904,0.08349511955250903,9.174681159425552,4.582161579048261,10.911880591165286,10055.974609375,12724.0
sintel,market_2,K4,k4,anchor_recent_dino_diverse_k4,4,ok,50,0.03135296863764554,0.021760479373939136,0.0920663888354566,9.695422392922953,3.205730849993415,15.597067358322581,7572.52587890625,8004.0
sintel,market_2,K6,k6,anchor_recent_dino_diverse_k6,6,ok,50,0.040076019994334834,0.02907832085668958,0.09778797602598455,11.73412313926756,3.1445119279669598,15.90071882230919,7784.64892578125,8172.0
sintel,market_2,K8,k8,anchor_recent_dino_diverse_k8,8,ok,50,0.053325739075303025,0.0271937932376801,0.08917572564153892,10.925778811548835,3.4016442701686174,14.698773895461306,7998.97900390625,8476.0
sintel,market_5,Full cache,full_cache,full_cache,,ok,50,0.5774968805829714,0.22422726523405992,0.677716017933825,3.8902580678420082,5.281968041090295,9.466168596824582,10055.974609375,12724.0
sintel,market_5,K4,k4,anchor_recent_dino_diverse_k4,4,ok,50,2.1907174624859693,0.30422649482066566,1.8342816267328415,1.846138160010814,3.84909511404112,12.990066111280266,7572.52587890625,8004.0
