task,dataset,sequence,method,method_id,cache_policy,cache_window_size,status,error,num_frames,accuracy,accuracy_median,completeness,completeness_median,normal_consistency,normal_consistency_median,overall,pose_status,pose_error,ate,rpe_trans,rpe_rot_deg,icp_fitness,icp_rmse,inference_sec,fps_inference,final_frame_ms,peak_allocated_mib,peak_reserved_mib
static,7scenes,office/seq-06,Full cache,full_cache,full_cache,,failed,ValueError: reconstruction evaluation requires at least two frames,,,,,,,,,,,,,,,,,,,,
static,7scenes,office/seq-06,K4,k4,anchor_recent_dino_diverse_k4,4,failed,ValueError: reconstruction evaluation requires at least two frames,,,,,,,,,,,,,,,,,,,,
static,7scenes,office/seq-06,K6,k6,anchor_recent_dino_diverse_k6,6,failed,ValueError: reconstruction evaluation requires at least two frames,,,,,,,,,,,,,,,,,,,,
static,7scenes,office/seq-07,Full cache,full_cache,full_cache,,failed,ValueError: reconstruction evaluation requires at least two frames,,,,,,,,,,,,,,,,,,,,
static,7scenes,office/seq-07,K4,k4,anchor_recent_dino_diverse_k4,4,failed,ValueError: reconstruction evaluation requires at least two frames,,,,,,,,,,,,,,,,,,,,
static,7scenes,office/seq-07,K6,k6,anchor_recent_dino_diverse_k6,6,failed,ValueError: reconstruction evaluation requires at least two frames,,,,,,,,,,,,,,,,,,,,
static,7scenes,office/seq-09,Full cache,full_cache,full_cache,,failed,ValueError: reconstruction evaluation requires at least two frames,,,,,,,,,,,,,,,,,,,,
static,7scenes,office/seq-09,K4,k4,anchor_recent_dino_diverse_k4,4,failed,ValueError: reconstruction evaluation requires at least two frames,,,,,,,,,,,,,,,,,,,,
static,7scenes,office/seq-09,K6,k6,anchor_recent_dino_diverse_k6,6,failed,ValueError: reconstruction evaluation requires at least two frames,,,,,,,,,,,,,,,,,,,,
static,7scenes,pumpkin/seq-01,Full cache,full_cache,full_cache,,ok,,20,0.04954214629195324,0.017204908549365263,0.036086511585517705,0.016528925436058918,0.7789198878671788,0.8782079902267776,0.04281432893873548,ok,,0.12620397146829046,0.1701338025812441,2.6208816013640455,0.8829690109482279,0.028727007604383223,1.9475319900084287,10.269407692714429,134.30169677734375,9428.69287109375,10630.0
static,7scenes,pumpkin/seq-01,K4,k4,anchor_recent_dino_diverse_k4,4,ok,,20,0.054738765367225356,0.029670901144411385,0.039376690669282184,0.019729360557562303,0.7815537150719583,0.8798004223195444,0.04705772801825377,ok,,0.13946439859307075,0.18107550160764924,2.7180750708152943,0.8320702665924414,0.03991099515193879,1.5642460728995502,12.785712137302788,76.13849639892578,8259.46044921875,9046.0
